dissim	el0	el1	el2	el3	el4	el5	el6	el7	el8	el9	el10	el11	el12	el13	el14	el15	max_el	diff	diffplus	diffminus	std	diff/std**0.2	diff/std**0.6	diff/std**1	diff/std**1.4	diff/std**2	maxmiddle	similarwindow_4.0	similarwindow_4.1	similarwindow_4.2	similarwindow_4.3	stat0	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14	stat15	stat16	stat17	stat18	stat19	stat20	stat21	stat22	stat23	stat24	stat25	stat26	stat27	stat28	stat29	stat30	stat31	stat32	stat33	stat34	stat35	stat36	stat37	stat38	stat39	stat40	stat41	stat42	stat43	stat44	class
0.020189	0.25726	0.38736	0.38789	0.46457	0.35725	0.31262	0.36564	0.42576	0.41904	0.31855	0.20384	0.04647	0.028671	0.026169	0.035189	0.031029	0.46457	0.4273	0.2079	-0.21939	0.095387	0.43066	0.43779	0.44331	0.44457	0.42312	0.25312	0.21081	0.50451	0.34916	0.8942	0.033157	0.18724	0.18758	0.22888	0.16182	0.08642	0.177	0.20572	0.16948	0.15472	0.043809	0.0042783	0.0094432	0.0033146	0.006034	0.00036684	0.15213	0.32458	0.16126	0.24792	-0.050511	0.14096	0.14037	0.11754	0.14098	0.10229	0.13908	0.14142	0.13012	0.13489	0.045222	-0.10561	0.1239	0.10259	-0.13826	-0.084337	-0.022772	-0.0031567	0.086648	0.16214	-0.04545	-0.048423	-0.027468	-0.0021793	1.9585	1176
0.013661	0.14845	0.16227	0.20614	0.23617	0.14062	0.23113	0.39295	0.36104	0.59116	0.67142	0.43998	0.059813	0.033002	0.026475	0.034509	0.035292	0.67142	0.4155	0.2064	-0.20911	0.063071	0.45484	0.54501	0.6485	0.75596	0.83468	0.11875	0.235	0.60453	0.82625	0.8234	0.035519	0.03704	0.065318	0.064618	0.073596	0.11297	0.18988	0.17448	0.2878	0.32947	0.21422	0.015999	0.00075519	0.004999	0.0051818	0.011454	0.12819	0.28578	0.11703	0.21627	0.038929	-0.14065	0.081104	0.10218	-0.0015904	0.12709	0.14137	0.14123	0.13198	0.12233	0.13188	0.083574	0.078724	-0.037664	-0.13885	0.13293	0.04061	0.047109	-0.024958	0.23233	-0.035617	-0.027758	-0.043654	0.046506	1.8889	667.5
0.014796	0.45579	0.27055	0.23049	0.20995	0.20392	0.25229	0.30438	0.24107	0.19449	0.10812	0.18148	0.046031	0.015672	0.01719	0.013897	0.016291	0.45579	0.27809	0.17879	-0.099305	0.050711	0.31797	0.41547	0.53779	0.67562	0.77863	0.25	0.11118	0.58105	0.96108	0.98812	0.1701	0.11064	0.11664	0.054028	0.081869	0.13225	0.16678	0.13122	0.1014	0.050522	0.085528	0.022357	0.003161	0.0034499	0.0072392	0.0043117	0.169	0.27143	0.23287	0.23966	-0.14136	-0.090711	0.087376	0.1404	0.064721	0.051994	0.01377	0.019064	0.057102	0.064956	0.13334	0.070508	0.08614	-0.1392	-0.041951	0.12305	0.10206	-0.021022	0.078548	0.084422	-0.044822	-0.053044	-0.041558	-0.040908	2.0264	667
0.0088537	0.18426	0.16577	0.14008	0.184	0.23323	0.23761	0.2309	0.2466	0.20256	0.14537	0.097717	0.051293	0.014078	0.0278	0.018191	0.016796	0.2466	0.22862	0.13377	-0.094845	0.038934	0.27556	0.39984	0.5725	0.78271	0.90872	0.29063	0.12715	0.77182	0.81013	0.8408	0.041936	0.050524	0.064429	0.091846	0.11883	0.11844	0.11284	0.12381	0.086188	0.066422	0.040595	0.022166	0.0004505	0.0040742	0.0034873	0.0036169	0.18773	0.2025	0.19142	0.20121	-0.14124	0.04142	0.020243	0.1024	0.080177	0.10397	0.12725	0.0959	0.11707	0.042806	0.079504	0.10081	0.14108	0.097844	0.036435	0.1193	0.47842	0.020751	0.35687	0.25027	0.18227	-0.02815	0.11236	0.039815	1.863	388.5
0.008256	0.52522	0.22274	0.084596	0.042223	0.033447	0.026923	0.024478	0.021736	0.017872	0.028462	0.033446	0.067942	0.063795	0.052786	0.036932	0.060536	0.52522	0.12734	0.070978	-0.056363	0.028348	0.16352	0.26902	0.43391	0.64862	0.70605	0.25625	0.061904	0.15303	0.18171	0.18513	0.26001	0.10234	0.036492	0.0030213	0.0048151	0.013088	0.0054169	0.0054494	0.00053295	0.0028197	0.016484	0.015498	0.031576	0.0038158	0.0062762	0.0029942	0.086824	0.23545	0.11918	0.16312	0.11188	0.12234	0.13462	0.14105	-0.13262	0.13381	0.1284	0.0065182	-0.085976	0.019967	0.11711	0.13543	0.11211	-0.024294	-0.1233	-0.01378	0.47968	0.55751	0.53652	0.74016	0.1744	0.22748	0.21441	0.50817	0.8238	254.5
0.02201	0.20244	0.61355	0.60202	0.53707	0.13029	0.2448	0.4832	0.58233	0.53792	0.37781	0.57452	0.21565	0.033368	0.026275	0.047207	0.031812	0.61355	0.44141	0.2876	-0.15381	0.076086	0.46543	0.51764	0.57262	0.62418	0.65018	0.35938	0.15958	0.66351	0.61362	0.70514	0.069254	0.095822	0.1035	0.086335	0.06938	0.12212	0.25639	0.31756	0.27773	0.19763	0.30239	0.1074	0.0055932	0.012032	0.0051443	0.0052522	0.062389	0.31342	0.17105	0.23968	-0.14135	0.011686	-0.10572	-0.040205	0.037679	0.10312	0.04083	0.017584	0.066609	0.053963	0.048176	0.085832	0.004056	0.11093	-0.11502	0.042698	0.044131	0.11791	-7.7892e-05	0.28102	-0.052158	-0.033004	-0.04818	0.047764	1.8634	1583.5
0.015609	0.079462	0.10145	0.32574	0.38722	0.40708	0.2956	0.35783	0.33789	0.31799	0.22448	0.23799	0.09823	0.03037	0.023746	0.025029	0.031145	0.40708	0.3821	0.20206	-0.18005	0.071253	0.40821	0.466	0.52885	0.5903	0.62878	0.19375	0.25955	0.9404	1.1419	1.3003	0.017248	0.045106	0.15987	0.20265	0.20845	0.14498	0.17295	0.16338	0.099269	0.095558	0.11572	0.045519	0.0055219	0.0018527	0.0071851	0.0063786	0.15191	0.31584	0.20029	0.24974	0.14135	0.1376	0.12215	0.053488	0.074984	0.12297	0.14102	0.1405	0.14041	0.10903	0.13346	0.11465	-0.12516	0.13749	0.084528	-0.039048	-0.037133	0.020058	0.096284	0.14648	-0.043132	-0.039218	-0.022368	7.528e-05	1.8715	2437.5
0.018142	0.11251	0.073019	0.11498	0.12569	0.22408	0.52338	0.51475	0.65496	0.55949	0.34013	0.35347	0.058481	0.050903	0.050719	0.051851	0.042342	0.65496	0.4187	0.25486	-0.16384	0.07063	0.44809	0.51331	0.58453	0.65451	0.69915	0.38438	0.10746	0.68663	0.56042	0.6113	0.02064	0.017571	0.036797	0.040354	0.099067	0.24755	0.26602	0.3297	0.28714	0.14515	0.16252	0.029267	0.010836	0.0049171	0.013013	0.0054415	0.042421	0.30217	0.12976	0.21847	0.11264	-0.14108	0.045561	0.082776	-0.0045841	0.068392	0.065682	0.053379	0.072638	0.10153	0.10109	0.099519	0.046546	-0.12173	0.11781	-0.053082	0.042811	0.15438	0.13312	0.38419	-0.054265	-0.032411	-0.028978	0.09746	1.4726	458
0.012122	0.088292	0.19862	0.091217	0.11741	0.31163	0.54607	0.58529	0.51258	0.28046	0.16582	0.15417	0.044335	0.03869	0.043748	0.049077	0.04117	0.58529	0.34024	0.16438	-0.17587	0.051251	0.38821	0.50512	0.65118	0.81518	0.93818	0.18125	0.18418	0.67325	0.65148	0.61744	0.0094032	0.028078	0.011035	0.056891	0.15251	0.26436	0.28484	0.24837	0.14488	0.084578	0.041581	0.0072962	0.0020936	0.0063266	0.013403	0.010199	0.11413	0.322	0.12146	0.22341	-0.1207	0.0019075	0.10473	0.13789	0.12559	0.13902	0.13241	0.13784	0.06605	0.078967	0.064077	-0.038643	0.141	0.096084	-0.12106	0.13198	0.10183	0.1992	0.18878	0.3962	-0.038325	-0.01738	-0.015015	0.12209	1.5978	535
0.011301	0.076421	0.25078	0.35182	0.035081	0.076134	0.058269	0.12291	0.32539	0.44009	0.43077	0.19636	0.016063	0.016328	0.019449	0.036282	0.02645	0.44009	0.23303	0.13234	-0.10069	0.040544	0.27862	0.39784	0.56094	0.75742	0.88144	0.43125	0.20451	0.71222	0.66261	0.74138	0.031507	0.05516	0.096484	0.016526	0.037836	0.027765	0.042803	0.15872	0.2177	0.21083	0.095131	0.0014072	0.0058273	0.0022628	0.0031661	0.0042952	0.2232	0.29236	0.2486	0.26212	0.12856	0.037498	-0.025437	0.14021	0.10743	-0.009797	0.1414	0.12958	0.11276	0.12548	0.1381	-0.10827	0.13941	-0.11351	0.045919	-0.023705	0.44497	0.16087	0.28847	0.27582	0.1516	-0.018239	0.037749	0.029794	1.6632	623
